X,ND5,ND10,ND15,ND20,ND25,ND30,ND35,ND40,ND45,ND50,ND55
t6 d7 c1,439961,439965,439972,439999,440150,439732,439972,440128,439871,440098,440179
t6 d7 c2,469041,468512,468815,468734,468866,468745,468665,468734,468635,468718,468683
t6 d7 c3,493319,493215,493294,493255,493172,493204,493239,493153,493193,493159,493111
t6 d7 c4,514478,514498,514688,514826,514735,514516,514645,514584,514548,514728,514402
t6 d7 c5,533279,533470,533470,533439,533649,533591,533444,533620,533530,533536,533307
t6 d7 c6,550406,550403,550196,550480,550475,550339,550324,550351,550345,550552,550410
t6 d7 c7,565662,565914,565954,565626,565856,565670,566010,565940,565905,565858,565901
t7 d1 c0,123327,123251,123284,123346,123268,123195,123289,123336,123318,123295,123271
t7 d1 c1,209470,209478,209322,209574,209480,209465,209567,209402,209461,209621,209627
t7 d2 c0,209587,209445,209481,209516,209501,209438,209578,209581,209516,209563,209577
t7 d2 c1,277927,277910,277918,277668,277902,277824,277790,277898,277895,277802,277733
t7 d2 c2,332709,333229,332784,332983,332938,332745,333016,332814,332893,332646,332759
t7 d3 c0,277909,277849,278040,277796,277816,277831,277834,277580,277804,277819,277795
t7 d3 c1,332940,332958,332962,332837,332969,332933,332838,332910,333039,332885,332861
t7 d3 c2,375431,375385,375399,375444,375261,375510,375434,375334,375560,375127,375343
t7 d3 c3,405534,405331,405389,405538,405497,405474,405299,405402,405658,405471,405587
t7 d4 c0,333090,332961,332890,332829,332835,333048,332896,332844,332922,332940,333070
t7 d4 c1,375483,375376,375269,375344,375490,375463,375490,375489,375320,375444,375485
t7 d4 c2,405288,405601,405580,405378,405135,405559,405374,405437,405605,405531,405303
t7 d4 c3,423305,423456,423513,423418,423541,423508,423527,423568,423291,423559,423625
t7 d4 c4,467324,467113,467318,467091,467127,467059,467116,467248,467238,467299,467327
t7 d5 c0,375485,375591,375490,375322,375383,375487,375498,375418,375368,375341,375225
t7 d5 c1,405496,405259,405466,405620,405176,405456,405317,405349,405459,405331,405464
t7 d5 c2,423599,423629,423673,423537,423619,423387,423404,423534,423656,423675,423631
t7 d5 c3,467322,467340,467459,467238,467165,467186,467352,467338,467301,467120,467155
t7 d5 c4,503788,503699,504011,503794,503692,503629,503810,503821,503864,503694,503703
t7 d5 c5,534780,534541,534766,534869,534811,534679,534583,534472,534556,534714,534539
t7 d6 c0,405400,405504,405462,405451,405432,405450,405452,405508,405510,405428,405375
t7 d6 c1,423663,423649,423575,423427,423675,423594,423348,423458,423591,423447,423502
t7 d6 c2,467123,467249,467370,467302,467147,467231,466935,467200,467368,467234,467244
t7 d6 c3,503678,503640,503597,503836,503658,503793,503751,503500,503678,503773,503436
t7 d6 c4,534649,534642,534415,534440,534490,534374,534659,534796,534553,534712,534751
t7 d6 c5,561097,561142,561151,561265,561411,561180,561039,561366,561230,561359,561139
t7 d6 c6,584610,584649,584585,584782,584619,584503,584652,584517,584651,584844,584571
t7 d7 c0,423424,423582,423409,423472,423587,423661,423510,423377,423540,423560,423932
t7 d7 c1,467042,467158,467164,467255,467316,467158,467267,467465,467199,467035,467199
t7 d7 c2,503607,503650,503662,503748,503719,503871,503709,503752,503762,503604,503675
t7 d7 c3,534579,534688,534406,534733,534678,534804,534512,534672,534582,534480,534559
t7 d7 c4,561248,561479,561370,561101,561292,561407,561158,561235,561233,561138,561311
t7 d7 c5,584780,584614,584704,584729,584678,584414,584439,584552,584417,584551,584625
t7 d7 c6,605511,605350,605442,605285,605597,605501,605510,605284,605166,605571,605427
t7 d7 c7,623799,624129,624191,624136,624300,624244,624212,624056,624172,624286,624075
